Original Version,New Version,A,B,C,D,E
1,5,A,B,C,D,E
2,2,A,B,C,D,E
3,3,A,B,C,D,E
4,4,A,B,C,D,E
5,1,E,A,B,C,D
6,10,A,B,C,D,E
7,7,A,B,C,D,E
8,8,A,B,C,D,E
9,9,A,B,C,D,E
10,6,E,A,B,C,D
11,15,A,B,C,D,E
12,12,A,B,C,D,E
13,13,A,B,C,D,E
14,14,A,B,C,D,E
15,11,E,A,B,C,D
16,20,A,B,C,D,E
17,17,A,B,C,D,E
18,18,A,B,C,D,E
19,19,A,B,C,D,E
20,16,E,A,B,C,D
21,25,A,B,C,D,E
22,22,A,B,C,D,E
23,23,A,B,C,D,E
24,24,A,B,C,D,E
25,21,E,A,B,C,D
26,30,A,B,C,D,E
27,27,A,B,C,D,E
28,28,A,B,C,D,E
29,29,A,B,C,D,E
30,26,E,A,B,C,D
31,35,A,B,C,D,E
32,32,A,B,C,D,E
33,33,A,B,C,D,E
34,34,A,B,C,D,E
35,31,E,A,B,C,D
36,40,A,B,C,D,E
37,37,A,B,C,D,E
38,38,A,B,C,D,E
39,39,A,B,C,D,E
40,36,E,A,B,C,D
